time,utc,pdt, open , high , low , close , DailyPLDot , DailyETop ,DailyXTop,DailyXTop2,DailyEBot,DailyXBot,DailyXBot2,HourlyPLDot,HourlyETop,HourlyXTop,HourlyXTop2,HourlyEBot,HourlyXBot,HourlyXBot2
1650556800,4/21/22 16:00,4/21/22 9:00," 15,165.25 "," 15,186.50 "," 15,105.75 "," 15,112.50 ",,,,,,,,,,,,,,
1650560400,4/21/22 17:00,4/21/22 10:00," 15,112.50 "," 15,151.25 "," 15,053.25 "," 15,064.50 ",15220.66667,15402.83333,15585.00,15767.17,15061.00,14901.33,14741.67,15226.47,15274.11,15321.75,15369.39,15143.11,15059.75,14976.39
1650564000,4/21/22 18:00,4/21/22 11:00," 15,063.75 "," 15,063.75 "," 14,942.00 "," 14,959.25 ",15220.66667,15402.83333,15585.00,15767.17,15061.00,14901.33,14741.67,15147.44,15187.39,15227.33,15267.28,15073.97,15000.50,14927.03
1650567600,4/21/22 19:00,4/21/22 12:00," 14,958.75 "," 14,971.75 "," 14,880.25 "," 14,921.25 ",15220.66667,15402.83333,15585.00,15767.17,15061.00,14901.33,14741.67,15070.97,15108.28,15145.58,15182.89,15008.11,14945.25,14882.39
1650571200,4/21/22 20:00,4/21/22 13:00," 14,921.25 "," 14,936.50 "," 14,867.25 "," 14,915.50 ",15220.66667,15402.83333,15585.00,15767.17,15061.00,14901.33,14741.67,15000.81,15043.11,15085.42,15127.72,14939.36,14877.92,14816.47
1650578400,4/21/22 22:00,4/21/22 15:00," 14,919.00 "," 14,927.50 "," 14,893.00 "," 14,915.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14939.72,14982.94,15026.17,15069.39,14888.78,14837.83,14786.89
1650582000,4/21/22 23:00,4/21/22 16:00," 14,915.50 "," 14,922.25 "," 14,875.00 "," 14,882.00 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14914.31,14948.44,14982.58,15016.72,14883.36,14852.42,14821.47
1650585600,4/22/22 0:00,4/21/22 17:00," 14,882.25 "," 14,906.50 "," 14,812.25 "," 14,837.00 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14903.86,14929.31,14954.75,14980.19,14878.97,14854.08,14829.19
1650589200,4/22/22 1:00,4/21/22 18:00," 14,836.50 "," 14,873.00 "," 14,830.00 "," 14,860.25 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14885.69,14911.31,14936.92,14962.53,14852.64,14819.58,14786.53
1650592800,4/22/22 2:00,4/21/22 19:00," 14,860.25 "," 14,890.50 "," 14,855.25 "," 14,868.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14866.47,14893.86,14921.25,14948.64,14832.36,14798.25,14764.14
1650596400,4/22/22 3:00,4/21/22 20:00," 14,869.25 "," 14,885.50 "," 14,853.00 "," 14,882.00 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14859.28,14886.06,14912.83,14939.61,14828.56,14797.83,14767.11
1650600000,4/22/22 4:00,4/21/22 21:00," 14,881.75 "," 14,911.75 "," 14,868.50 "," 14,909.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14866.47,14886.86,14907.25,14927.64,14849.94,14833.42,14816.89
1650603600,4/22/22 5:00,4/21/22 22:00," 14,909.25 "," 14,940.00 "," 14,898.75 "," 14,902.50 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14880.56,14902.19,14923.83,14945.47,14865.19,14849.83,14834.47
1650607200,4/22/22 6:00,4/21/22 23:00," 14,903.00 "," 14,948.75 "," 14,896.00 "," 14,935.00 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14894.64,14915.86,14937.08,14958.31,14876.86,14859.08,14841.31
1650610800,4/22/22 7:00,4/22/22 0:00," 14,935.50 "," 14,961.00 "," 14,863.50 "," 14,928.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14912.33,14936.92,14961.50,14986.08,14891.17,14870.00,14848.83
1650614400,4/22/22 8:00,4/22/22 1:00," 14,929.00 "," 14,946.50 "," 14,902.50 "," 14,907.25 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14919.36,14952.64,14985.92,15019.19,14888.81,14858.25,14827.69
1650618000,4/22/22 9:00,4/22/22 2:00," 14,907.75 "," 14,925.25 "," 14,852.25 "," 14,866.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14921.03,14954.72,14988.42,15022.11,14889.97,14858.92,14827.86
1650621600,4/22/22 10:00,4/22/22 3:00," 14,866.50 "," 14,897.25 "," 14,852.00 "," 14,884.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14905.97,14939.19,14972.42,15005.64,14867.69,14829.42,14791.14
1650625200,4/22/22 11:00,4/22/22 4:00," 14,884.50 "," 14,954.00 "," 14,880.75 "," 14,950.25 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14892.72,14916.53,14940.33,14964.14,14862.44,14832.17,14801.89
1650628800,4/22/22 12:00,4/22/22 5:00," 14,950.00 "," 14,979.00 "," 14,910.25 "," 14,922.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14895.92,14930.17,14964.42,14998.67,14866.33,14836.75,14807.17
1650632400,4/22/22 13:00,4/22/22 6:00," 14,922.50 "," 14,977.50 "," 14,815.50 "," 14,867.50 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14914.56,14948.11,14981.67,15015.22,14885.69,14856.83,14827.97
1650636000,4/22/22 14:00,4/22/22 7:00," 14,868.00 "," 14,956.25 "," 14,782.50 "," 14,812.00 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14917.50,14966.17,15014.83,15063.50,14864.83,14812.17,14759.50
1650639600,4/22/22 15:00,4/22/22 8:00," 14,811.75 "," 14,872.50 "," 14,712.75 "," 14,713.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14891.47,14946.86,15002.25,15057.64,14812.03,14732.58,14653.14
1650643200,4/22/22 16:00,4/22/22 9:00," 14,713.75 "," 14,753.50 "," 14,685.50 "," 14,691.25 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14834.47,14898.69,14962.92,15027.14,14733.53,14632.58,14531.64
1650646800,4/22/22 17:00,4/22/22 10:00," 14,691.25 "," 14,708.00 "," 14,630.00 "," 14,630.75 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14775.56,14824.19,14872.83,14921.47,14690.36,14605.17,14519.97
1650650400,4/22/22 18:00,4/22/22 11:00," 14,630.25 "," 14,689.75 "," 14,575.50 "," 14,600.00 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14710.89,14745.69,14780.50,14815.31,14643.78,14576.67,14509.56
1650654000,4/22/22 19:00,4/22/22 12:00," 14,599.75 "," 14,708.25 "," 14,540.00 "," 14,558.25 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14662.69,14695.06,14727.42,14759.78,14608.31,14553.92,14499.53
1650657600,4/22/22 20:00,4/22/22 13:00," 14,557.25 "," 14,568.75 "," 14,495.75 "," 14,508.00 ",15217.25,15416.66667,15616.08,15815.50,14960.58,14703.92,14447.25,14626.72,14671.61,14716.50,14761.39,14551.44,14476.17,14400.89
1650837600,4/24/22 22:00,4/24/22 15:00," 14,523.50 "," 14,554.00 "," 14,489.00 "," 14,533.00 ",15019.44444,15198.47222,15377.50,15556.53,14718.89,14418.33,14117.78,14582.69,14628.31,14673.92,14719.53,14509.81,14436.92,14364.03
1650841200,4/24/22 23:00,4/24/22 16:00," 14,535.00 "," 14,560.00 "," 14,516.75 "," 14,528.00 ",15019.44444,15198.47222,15377.50,15556.53,14718.89,14418.33,14117.78,14550.56,14592.86,14635.17,14677.47,14490.78,14431.00,14371.22
1650844800,4/25/22 0:00,4/24/22 17:00," 14,528.00 "," 14,541.00 "," 14,458.50 "," 14,493.25 ",15019.44444,15198.47222,15377.50,15556.53,14718.89,14418.33,14117.78,14528.14,14555.78,14583.42,14611.06,14495.36,14462.58,14429.81
1650848400,4/25/22 1:00,4/24/22 18:00," 14,493.75 "," 14,507.25 "," 14,435.75 "," 14,446.75 ",15019.44444,15198.47222,15377.50,15556.53,14718.89,14418.33,14117.78,14519.28,14550.47,14581.67,14612.86,14486.89,14454.50,14422.11
1650852000,4/25/22 2:00,4/24/22 19:00," 14,447.50 "," 14,477.00 "," 14,442.00 "," 14,469.50 ",15019.44444,15198.47222,15377.50,15556.53,14718.89,14418.33,14117.78,14498.58,14526.83,14555.08,14583.33,14461.08,14423.58,14386.08
1650855600,4/25/22 3:00,4/24/22 20:00," 14,470.00 "," 14,521.25 "," 14,464.75 "," 14,505.00 ",15019.44444,15198.47222,15377.50,15556.53,14718.89,14418.33,14117.78,14474.56,14503.69,14532.83,14561.97,14440.69,14406.83,14372.97
